# Welcome to the tileset file.
#
# The pound (#) symbols are comments. They only
# work if the # is at the beginning of the line.
# Empty lines are not parsed either.
#
# The syntax for this file is:
# <char> <imagepath> [keywords]
#
# The image path is relative to res/ folder.
# Do not include the file extension (always MCI).
# If image path is null, it won't render.
#
# The OPTIONAL case-insensitive keywords are:
# - solid - The character can't walk through tile
# - fluid - The character can walk through tile
# - dangerous - Kills the character on touch
# - safe - Doesn't kill the character on touch
# - spawn - Spawn tile-- character spawns here
# - checkpoint - Sets a checkpoint to spawn at on touch
# - nojump - Disable jumping on tile
# - jump - Enable jumping on tile
# - dither - Enable dithering while on tile
# - lock - Disable panning (right-click)
# - unlock - Enable panning (right-click)
# - default - Replace spaces by default with tile
# - replace=<char> - Replaces tile with char
# - speed=<double> - Sets the speed while on tile
# - filter=<int> - Sets the percent darkness to apply

# Default tiles
? tiles/null solid nojump
S null spawn replace=tiles/dirt
D tiles/dirt
. tiles/water speed=0.2 nojump
L tiles/lava fluid nojump dangerous default
C tiles/dirt checkpoint
_ tiles/ice speed=0.4 acceleration=0.0008 nojump slippery
G tiles/gravel acceleration=0.1 speed=0.5
~ tiles/test solid

# Path tiles
R tiles/dirt speed=0.5 filter=0
1 tiles/dirt speed=0.4 filter=10 lock
2 tiles/dirt speed=0.35 filter=20 lock
3 tiles/dirt speed=0.3 filter=30 lock
4 tiles/dirt speed=0.25 filter=40 lock
5 tiles/dirt speed=0.225 filter=50 lock
6 tiles/dirt speed=0.2125 filter=60 lock
7 tiles/dirt speed=0.2 filter=70 lock
8 tiles/dirt speed=0.15 filter=80 lock
9 tiles/dirt speed=0.1 filter=90 lock
0 tiles/dirt speed=0.05 filter=100 lock
